Item,Quantity Needed,Quantity of listing needed,Unit cost,Total Cost,Link,Notes
6904 zz,2,1,$9.99,$9.99,https://www.amazon.com/Pnzxi-10pcs-6904ZZ-20x32x7mm-Bearings/dp/B09MQ7G9JY/ref=sr_1_10?crid=2D5UFSRQSFPD8&dib=eyJ2IjoiMSJ9.FMIzzK3PUoP6L8RZsK3C86xZzeH__K9tg9Z7tar7JqmnQjThlaNPr8e5Iti_B-Viq9lzcGokHPjFRGwd_Fq3tzIuxIeI14UGweHN6iBYsHmBMB3RYRtEyqlLOOZPDgB-es1X-AwuC7Gzv-DKMo-54ELAv813NQRDN-Q3iCfDqkMU3vK3IIcuzEcrClfMRZZ6iKmsxpp5CjDktIunrnHlV490h5i_BRYTGcqSkZTc6u8.TqmRTgTF4picWqL1bcr1Mar0WzgSVuf0lk5Y6iKE1KU&dib_tag=se&keywords=6904zz&qid=1781566704&sprefix=6904z%2Caps%2C189&sr=8-10,
6808 2rs,4,1,$9.99,$9.99,https://www.amazon.com/HARFINGTON-6808-2RS-Bearings-Bearing-Conveyors/dp/B0CGM46PYL/ref=sr_1_1?dib=eyJ2IjoiMSJ9.xFn5DjchOYCVVgen6XFAQN4hsPUy4lLDua_L6DVYpazSaj8zVGG-0inE3cL5lGZLci0ca-_UzS5ZHXV3_MADHvkkUbXpK1CTDF0oeIVtmNM7NYNmy_k8B1wXVYQTdGYh49MguDsUd162nRWYEe3zTBeJftW_FZrYVifZtNxK092aI3xkPs6nr2_yYPHRlr8cm3xHjoqvOokoWJYpG2toZOHsRGAtnZuE2-G-dkFSm_8.j1OmRQCiF2aYijm75xmewCUoTndlUobVSdBKmlY5yL8&dib_tag=se&keywords=6808&qid=1781566936&sr=8-1&th=1,
694 zz,42,3,$9.99,$29.97,https://www.amazon.com/uxcell-Groove-Bearing-1080094-Bearings/dp/B07FVY1XRR/ref=sr_1_2?crid=TK46LXCRFROG&dib=eyJ2IjoiMSJ9.lReXMIurtKJkf351dnZo7V0GWGgJMHaR01MP2tv7Qiae-dW4M4FRYJ5l813j9jHEVfixEdpiC2qNiaoiWRTlGQisuaE3O28Xbs1Wwz2X9Gcp2hEL_IDnI_bFEgEnMw_qVkwcYfiFaSDqbm1YqgINFcCOMxcUOOR1pk9OtRoyJMCZnCv4BnD1v2jNnv0Cr47lPVyxzh3pM0Y-Sl8SpdysGgts8NVzx2P03qqlKpQsuYI.gFW-ITil8tYkhHORgl_TINBisvdJnB2MOjMDNmF_5pE&dib_tag=se&keywords=694%2Bbearing&qid=1781566797&sprefix=694%2Bbear%2Caps%2C176&sr=8-2&th=1,
AXK4060 2AS Thrust Needle Roller Bearings,1,1,$7.29,$7.29,https://www.amazon.com/dp/B0CY5Q7KR9/?coliid=I1J6NE0IXWAZX7&colid=18YERCSNZYYLR&th=1,
,,,,,,
4x2x250,3,1,$8.79,$8.79,https://www.amazon.com/FOCMKEAS-Stainless-Thickness-Capillary-Industrial/dp/B0FH4VQZH2/ref=sr_1_4?crid=2S2LIS9DDJIIV&dib=eyJ2IjoiMSJ9.sbZwdMc3BbNXtUkGyfeYIxYD4h6hXyzS3_O6t6esyFKIydEaVcNQF3LkjEVBMPyUsx1SYAZgCLw6l2wrDMpjfXFiOgypRTIbQkVUU-yN0n5RxFoEBjbDWX-fjw-kstKYNnQS-baa_couoYxcqUlLzq27sPZLVde4ugxMGoe2x_R1bhkCcEVCbNNsLdxgkvoGkWRr0cHTJoSatWb5X50HWfRWdXS6y-BkKlvGy35NpA4.4bzGJYpbJaerBD47oEO82U9ysPdcCY_hWPGrHIVP5qc&dib_tag=se&keywords=4mm%2Bmetal%2Btube&qid=1781566035&sprefix=4mm%2Bmetal%2Btube%2Caps%2C221&sr=8-4&th=1,
12x8x305 steel pipe,4,4,$12.29,$49.16,https://www.amazon.com/uxcell-Stainless-Seamless-Straight-Capillary/dp/B0FKGJG62Q/ref=sr_1_4?crid=2ZKAN7BQJHZ9J&dib=eyJ2IjoiMSJ9.7dJV8b0vR9jE1Gh2yYLd_I6_8mCXh0APkGBa4i9FhWCcPFTMCoOhCVo1hw-Yf9LI51u7QUmK80P52bBKO_0DII3naMymP9iiCz_WSgFOQntDn14Vwh2Dowipu7ZCRtRHTu647cIKF43xBGUWAKXmqFykouJlgnzLCdF5TS1a_cpAHSyeR4W7z81wO3fxM2cwUO1V6PCuVHKC7BHMc3yzfX5RN5nwiLru_NnuDmA2v2s.gBJY7oIAiaJ0bd-8a2SmooL3Kf0sVCad-Tp5vuKjcS0&dib_tag=se&keywords=12mm%2Bpipe%2B8mm%2Bid&qid=1781565495&sprefix=12mm%2Bpipe%2B8mm%2B%2Caps%2C182&sr=8-4&th=1,
20x12x300 pipe,1,1,$11.79,$11.79,https://www.amazon.com/dp/B07YCGMF7H/ref=twister_B087C3VN9N?_encoding=UTF8&th=1,
40x34x300 aluminum pipe,1,1,$18.29,$18.29,https://www.amazon.com/dp/B0C6QVS91B/?coliid=I2UDI4JBRQ34O4&colid=18YERCSNZYYLR&psc=1&ref_=list_c_wl_lv_ov_lig_dp_it,
,,,,,,
,,,,,*Note that exact suppliers will vary based on sales and how long it takes to get funding,
